2026-02-01 00:00:05 | ERROR | search | Unhandled exception type=ValueError message=unexpected None (env=prod, region=ap-southeast-1, ip=17.27.69.161, request_id=tyjcj90h9zfswx73, trace_id=jdsmnw6y8xds3ot3vizkp9cc, ua="curl/8.4.0")
2026-02-01 00:02:31 | ERROR | worker | DB timeout while fetching user profile user_id=4243 (env=prod, region=eu-west-1, ip=77.158.97.77, request_id=27q33t5b45nvvfev, trace_id=2nu2jjkequzkoo0vnhpikls0, ua="PostmanRuntime/7.36.0")
2026-02-01 00:02:47 | ERROR | profile | Payment gateway returned 504 provider=adyen (env=staging, region=ap-southeast-1, ip=217.108.215.24, request_id=uw7jo8xb27nihkfo, trace_id=p700gk1hme5uu4661e63qmvs, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:02:57 | ERROR | orders | Service dependency not responding dependency=stripe (env=staging, region=ap-southeast-1, ip=216.189.229.90, request_id=ux2eef76nn081bp5, trace_id=pnijdledaypyp2mwwc1dyfim, ua="curl/8.4.0")
2026-02-01 00:02:58 | ERROR | api | DB timeout while fetching user profile user_id=5204 (env=prod, region=ap-southeast-1, ip=165.96.135.191, request_id=x3fn8kaid1m0uvly, trace_id=ip8ys1s0xb79hrue26107la0, ua="curl/8.4.0")
2026-02-01 00:03:28 | ERROR | orders | Service dependency not responding dependency=email-smtp (env=prod, region=eu-west-1, ip=12.120.200.86, request_id=sfnn498fsl9v0w5n, trace_id=s50f91xzi68off6cocm3vvqr, ua="curl/8.4.0")
2026-02-01 00:04:47 | ERROR | cache | Upstream service unavailable dependency=postgres (env=dev, region=me-south-1, ip=141.202.43.79, request_id=xitgi8ho7tuyal8i, trace_id=7ytrz0k5shlriwcyj0bzjw5r, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:05:06 | ERROR | search | DB timeout while fetching user profile user_id=8496 (env=prod, region=us-east-1, ip=207.253.37.82, request_id=nadmkvkcrtozd2cj, trace_id=5gfqfx9uj79shibwy75wr9kq, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:05:08 | ERROR | billing | Data validation error: missing required field field=user_id (env=prod, region=me-south-1, ip=54.168.21.224, request_id=9obghneuydqpdqw8, trace_id=65l59sn6qzyizkqkf09vp7on, ua="curl/8.4.0")
2026-02-01 00:05:34 | ERROR | storage | Service dependency not responding dependency=kms (env=staging, region=ap-southeast-1, ip=99.199.97.248, request_id=c9nxmpjr7gc2710e, trace_id=nefnk9t2iustap1e1nwszxrl, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:05:45 | ERROR | cdn | Upstream service unavailable dependency=payments-api (env=staging, region=us-east-1, ip=1.246.232.119, request_id=q7aq1w3wn86qffc4, trace_id=1wor4gelonx1onqifio3mf89, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:05:46 | ERROR | kms | Connection refused dependency=stripe (env=staging, region=us-east-1, ip=132.86.41.250, request_id=e1a7an5by8jrtnln, trace_id=lqpqyhxudn27dpa405108pwc, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:05:55 | ERROR | db | Service dependency not responding dependency=redis (env=dev, region=ap-southeast-1, ip=119.54.3.29, request_id=ma1g2rxtdrg7mh6w, trace_id=0kaozh0r2nokmdc65ctgj3rn, ua="curl/8.4.0")
2026-02-01 00:06:01 | ERROR | inventory | Write operation failed: storage quota exceeded bucket=staging-uploads (env=prod, region=us-east-1, ip=129.170.150.177, request_id=nllpzsr4xy31siby, trace_id=al79m480y5ch0sfkawv76083, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:06:12 | ERROR | storage | Unhandled exception type=ValueError message=invalid format (env=prod, region=me-south-1, ip=242.157.208.76, request_id=9op7x31jrbkc99nb, trace_id=l7j64amk5y55id99r4cxfqbv, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:06:22 | ERROR | api | DB timeout while fetching user profile user_id=4189 (env=staging, region=ap-southeast-1, ip=182.177.213.223, request_id=gmw1vbl44qm6mve8, trace_id=2aedl5cbcrlg9d8zaistc71s, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:06:35 | ERROR | cdn | Authentication failed due to invalid token user_id=4633 (env=dev, region=us-east-1, ip=129.109.136.13, request_id=4cp35961y6t6r8t7, trace_id=7yjjenvhsc0tj7hwmi6faykc, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:06:41 | ERROR | cache | Service dependency not responding dependency=postgres (env=prod, region=me-south-1, ip=15.250.232.46, request_id=pgvfr4altct26zmo, trace_id=25kmsczufqlsxrco6g6yer44, ua="PostmanRuntime/7.36.0")
2026-02-01 00:06:53 | ERROR | analytics | Payment gateway returned 504 provider=stripe (env=prod, region=ap-southeast-1, ip=52.18.192.78, request_id=5g66c0rq99flz6lj, trace_id=3yfce5shm1dx4hss59ikhh67, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:54:18 | ERROR | api | Payment gateway returned 504 provider=stripe (env=prod, region=us-east-1, ip=46.249.252.56, request_id=d2evtz7t3ndgv11k, trace_id=m5pcf8unci0s3lfuja1rg2mo, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:54:19 | ERROR | orders | Data validation error: missing required field field=user_id (env=prod, region=us-east-1, ip=170.55.15.63, request_id=txwjfgecbo513hd9, trace_id=6nzhfi3n5gwefczx3b8cb449, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 06:54:35 | ERROR | email | Write operation failed: storage quota exceeded bucket=prod-uploads (env=prod, region=us-east-1, ip=184.93.8.76, request_id=7bquj8sdsf1yh4ue, trace_id=hxxa7cff5907qp0m9k7zf64a, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:54:36 | ERROR | scheduler | DB timeout while fetching user profile user_id=3905 (env=prod, region=ap-southeast-1, ip=86.253.235.216, request_id=kgbeaaij6bc0y2lb, trace_id=55b47lrtmz1yhsb0l7jj4j3n, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:54:45 | ERROR | cache | Unhandled exception type=PermissionError message=index out of range (env=prod, region=us-east-1, ip=38.8.46.24, request_id=8zeok823qi391kkt, trace_id=hdl8bg8v99lnopn8onspzvdw, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:55:16 | ERROR | gateway | Service dependency not responding dependency=stripe (env=prod, region=us-east-1, ip=228.16.67.198, request_id=x68j5si2l0hfe3z4, trace_id=5klr0z95hod6j6vbueje0ulq, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 06:55:31 | ERROR | payments | Connection refused dependency=email-smtp (env=prod, region=eu-west-1, ip=160.24.143.150, request_id=yjkl24lwx8s93vb8, trace_id=8tkckzpaq4akzz401o101udd, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:55:34 | ERROR | inventory | Write operation failed: storage quota exceeded bucket=prod-backups (env=prod, region=ap-southeast-1, ip=96.162.31.159, request_id=yvzd4rpito4wtswn, trace_id=xffqze5p3933lvd7b0pczzi9, ua="curl/8.4.0")
2026-02-01 06:55:40 | ERROR | email | Authentication failed due to invalid token user_id=9203 (env=dev, region=eu-west-1, ip=121.42.21.249, request_id=l3awrqvcr8x40fn5, trace_id=etxmfcmbj0c90sf927c6v5tk, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:55:57 | ERROR | search | Data validation error: missing required field field=amount (env=prod, region=us-east-1, ip=230.182.78.246, request_id=2m6bww0hmu31y3y9, trace_id=jny83lw5nhkw1vhkobh4b91o, ua="curl/8.4.0")
2026-02-01 06:56:02 | ERROR | payments | Payment gateway returned 500 provider=adyen (env=prod, region=eu-west-1, ip=127.228.86.244, request_id=l94h9qudzthl7tqy, trace_id=alf2pdvv1xkmdoj14qx2q3cz, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:56:05 | ERROR | inventory | Worker crashed: out of memory rss_mb=3715 (env=dev, region=me-south-1, ip=49.133.189.241, request_id=9mpf8mw2u54xgmb0, trace_id=iiwb91hrwqhs91f0zh5dyj97, ua="PostmanRuntime/7.36.0")
2026-02-01 06:56:21 | ERROR | cdn | DB timeout while fetching user profile user_id=2620 (env=dev, region=eu-west-1, ip=164.217.230.84, request_id=g3lbvfyoe087am9u, trace_id=2keru6311sbn6h415sjo3gj9, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:56:24 | ERROR | cache | Upstream service unavailable dependency=orders-api (env=dev, region=eu-west-1, ip=176.75.27.147, request_id=ysqx4h4ppe36cxys, trace_id=gmyaonwu6eotj03hul2znsgw, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:56:33 | ERROR | profile | Data validation error: missing required field field=amount (env=dev, region=ap-southeast-1, ip=130.191.78.168, request_id=dyxbnxic8tj7m69h, trace_id=j08uwswwj7xdltkej4u5ydwe, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:57:09 | ERROR | billing | Upstream service unavailable dependency=kms (env=staging, region=me-south-1, ip=204.153.228.201, request_id=amz653yrqg02ofax, trace_id=7gzih8e4xbsjmllpjz2rinln, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:57:15 | ERROR | scheduler | Data validation error: missing required field field=address (env=staging, region=us-east-1, ip=217.115.118.178, request_id=mhw3ib05p9jyax7d, trace_id=o28fa262ukihb1qak6atfiut, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:57:21 | ERROR | gateway | Authentication failed due to invalid token user_id=3287 (env=prod, region=us-east-1, ip=55.221.170.111, request_id=kc0fj2sei5iu49et, trace_id=nu8pihkzcge5a7le4gikfdq9, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:57:36 | ERROR | payments | Payment gateway returned 502 provider=paypal (env=prod, region=us-east-1, ip=119.144.61.183, request_id=gq19j85mc8ly42ls, trace_id=qr3ile32m10qhq51521yfay6, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:57:37 | ERROR | billing | Connection refused dependency=email-smtp (env=prod, region=us-east-1, ip=126.128.230.32, request_id=skfhsrcbjtkq5y5d, trace_id=8dy76yelxq51tpqxllvpqh3x, ua="PostmanRuntime/7.36.0")
2026-02-01 06:57:40 | ERROR | kms | Service dependency not responding dependency=payments-api (env=prod, region=us-east-1, ip=237.205.225.210, request_id=hmlwop0x755t9xi5, trace_id=knzu6x5cdbcy3cf8rlzna3ap, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:57:42 | ERROR | auth | Connection refused dependency=email-smtp (env=prod, region=eu-west-1, ip=9.185.95.29, request_id=8g6xwipvu13hq39f, trace_id=uvjgxn4u8ju9rvhovq7sibq8, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:57:46 | ERROR | notifications | Upstream service unavailable dependency=kms (env=prod, region=me-south-1, ip=114.3.67.29, request_id=ofk67mp9nhi48agy, trace_id=cbm0mxz4vdj2w5zr321teemd, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 06:58:02 | ERROR | profile | Upstream service unavailable dependency=stripe (env=prod, region=eu-west-1, ip=120.139.250.128, request_id=5qdvvr2jys885m0q, trace_id=oni20j100sk5dfrbcen9zfkp, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:58:12 | ERROR | kms | Connection refused dependency=payments-api (env=dev, region=us-east-1, ip=77.247.9.151, request_id=nd6o1agnst8hg6q9, trace_id=66e8ph17fv99f9il0v6shfxk, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:58:15 | ERROR | auth | Worker crashed: out of memory rss_mb=3596 (env=staging, region=us-east-1, ip=214.195.159.134, request_id=nvzl4pwc5x6cy8y1, trace_id=jlxw9grpxx0mlgpld3phq394, ua="PostmanRuntime/7.36.0")
2026-02-01 06:58:20 | ERROR | payments | Payment gateway returned 504 provider=stripe (env=prod, region=us-east-1, ip=54.180.36.126, request_id=s6p6gdtv4cl7httx, trace_id=mjkmszv3ifvrjvc63kas155f, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:58:42 | ERROR | notifications | Worker crashed: out of memory rss_mb=7919 (env=prod, region=ap-southeast-1, ip=120.184.17.59, request_id=1h65xv05sbvob0uv, trace_id=czpb6s3cidvgkzskc4crjp31, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:58:53 | ERROR | frontend | Payment gateway returned 502 provider=adyen (env=prod, region=me-south-1, ip=54.28.137.65, request_id=gvd7s2n2k7ud640q, trace_id=fm0wf87zroeh9gvy2kadjxgc, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:58:58 | ERROR | worker | Unhandled exception type=PermissionError message=invalid format (env=prod, region=eu-west-1, ip=246.36.87.216, request_id=yynrszmvrl6babyn, trace_id=jribizmt6wky8xr9ihkr5bqt, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:59:34 | ERROR | email | Worker crashed: out of memory rss_mb=1254 (env=prod, region=me-south-1, ip=54.30.237.95, request_id=7gx5mslekidcw6jc, trace_id=cru7w5np8hcgvt474zb86tjd, ua="curl/8.4.0")
2026-02-01 06:59:36 | ERROR | kms | Data validation error: missing required field field=currency (env=prod, region=us-east-1, ip=35.111.170.122, request_id=u90v724p1pbxpv4y, trace_id=3oq3zm00lkdb2ad1z9ymkb38, ua="curl/8.4.0")
2026-02-01 07:00:05 | ERROR | notifications | Data validation error: missing required field field=token (env=prod, region=me-south-1, ip=120.227.130.161, request_id=6lns4k4x35fwzbl6, trace_id=qpy46f9oc2l9rpauj3groztg, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:00:18 | ERROR | billing | Upstream service unavailable dependency=orders-api (env=prod, region=us-east-1, ip=218.8.252.90, request_id=v5bqct7y37s9qrl6, trace_id=hxj60kg5rvwjheuilp3y36kn, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:00:27 | ERROR | profile | Service dependency not responding dependency=cdn-edge (env=prod, region=ap-southeast-1, ip=205.166.132.208, request_id=r3lces1ekrpq3os3, trace_id=ax344dhyfm47vjxythvaldsv, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:00:33 | ERROR | api | Write operation failed: storage quota exceeded bucket=staging-uploads (env=prod, region=me-south-1, ip=125.26.13.128, request_id=oxbkwgjwz8h5cdr2, trace_id=89o34b43s45w130chwki5j4k, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:01:29 | ERROR | inventory | Data validation error: missing required field field=address (env=dev, region=us-east-1, ip=60.153.139.232, request_id=ct0plkgc1c8f23mb, trace_id=io3plza772jgbcfrdd72sfmt, ua="curl/8.4.0")
2026-02-01 07:01:32 | ERROR | api | Write operation failed: storage quota exceeded bucket=prod-uploads (env=staging, region=me-south-1, ip=76.48.216.159, request_id=y0rw7elzl2m2miuw, trace_id=nerwzzwvd099g3exk3x4av03, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 07:01:47 | ERROR | cache | Worker crashed: out of memory rss_mb=6728 (env=staging, region=me-south-1, ip=216.220.162.245, request_id=fk146f4ahmh97vyr, trace_id=35p12bf327hr5v2yhdir1kyk, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:02:01 | ERROR | scheduler | Service dependency not responding dependency=cdn-edge (env=prod, region=me-south-1, ip=41.74.101.153, request_id=nhvrfbfa27do5zjt, trace_id=ltplm4carzyef28mxjgeedld, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:02:11 | ERROR | analytics | Worker crashed: out of memory rss_mb=1717 (env=staging, region=ap-southeast-1, ip=34.3.72.1, request_id=s17aqmjnemkbltmf, trace_id=jbq900awueldldndpfkg8sik, ua="PostmanRuntime/7.36.0")
2026-02-01 07:02:12 | ERROR | auth | Upstream service unavailable dependency=stripe (env=prod, region=ap-southeast-1, ip=122.225.101.81, request_id=vld1ynw8ecig875u, trace_id=zswlpx1n3eulzweca4jjccah, ua="PostmanRuntime/7.36.0")
2026-02-01 07:02:29 | ERROR | inventory | Worker crashed: out of memory rss_mb=7614 (env=prod, region=ap-southeast-1, ip=135.151.11.55, request_id=qljgibza0jzxdent, trace_id=1nuaj73xn45fteh4zzdp46ec, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 07:02:42 | ERROR | worker | DB timeout while fetching user profile user_id=1129 (env=prod, region=us-east-1, ip=2.166.135.154, request_id=bhujyfdmejar133e, trace_id=gexxofs0yfd79752g2o3cd12, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 07:02:55 | ERROR | email | Connection refused dependency=payments-api (env=prod, region=ap-southeast-1, ip=250.3.77.152, request_id=ljtggph6q6uu712s, trace_id=orp1q8qmelqmdkioer739nc6, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 07:02:59 | ERROR | api | Authentication failed due to invalid token user_id=1720 (env=prod, region=ap-southeast-1, ip=15.82.58.131, request_id=fzcugjbikr8e52f8, trace_id=wa8leh1peaequoms5hqgl0mx, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:03:23 | ERROR | email | Authentication failed due to invalid token user_id=5450 (env=prod, region=us-east-1, ip=60.110.245.69, request_id=2otqe42ib2q8ro34, trace_id=itijkxsso53zlmcg60u1reji, ua="curl/8.4.0")
2026-02-01 07:04:01 | ERROR | scheduler | Authentication failed due to invalid token user_id=5104 (env=prod, region=ap-southeast-1, ip=143.163.161.248, request_id=0bkhag5rxrw8d79m, trace_id=pcatgewy5br7zfhueqlwbh04, ua="curl/8.4.0")
2026-02-01 07:04:06 | ERROR | storage | Data validation error: missing required field field=address (env=dev, region=us-east-1, ip=14.7.61.177, request_id=dd3fxa7ke90a00z2, trace_id=glq72yot4s9jdm5rf7ct7hg2, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 07:04:38 | ERROR | inventory | Service dependency not responding dependency=orders-api (env=prod, region=me-south-1, ip=106.127.191.111, request_id=mobvlftz2n039tfa, trace_id=240qhuhybvi3e76e0xeollnt, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:04:39 | ERROR | billing | Data validation error: missing required field field=sku (env=prod, region=us-east-1, ip=115.98.14.125, request_id=h60xl6cx0hhyv85r, trace_id=fc1l8tv2yeqoxik5055j6d53, ua="PostmanRuntime/7.36.0")
2026-02-01 07:04:42 | ERROR | inventory | Payment gateway returned 401 provider=adyen (env=prod, region=us-east-1, ip=70.171.131.238, request_id=v918ui7kym7wkavh, trace_id=t25g70mzhnh8g95kggaoxyb0, ua="PostmanRuntime/7.36.0")
2026-02-01 07:04:47 | ERROR | payments | Worker crashed: out of memory rss_mb=2219 (env=dev, region=us-east-1, ip=209.153.241.132, request_id=0v3ou7ssj9vkhtqq, trace_id=14tm6bavexbnlqps9aj9bthp, ua="curl/8.4.0")
2026-02-01 07:05:22 | ERROR | worker | Service dependency not responding dependency=postgres (env=dev, region=ap-southeast-1, ip=96.142.107.244, request_id=8v2w45tzoi6qkrb7, trace_id=7g1of0qgt1rq0x65ydtky4gv, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 07:05:23 | ERROR | auth | Service dependency not responding dependency=redis (env=staging, region=me-south-1, ip=96.98.60.227, request_id=7ph8cqmy0kvpkt8n, trace_id=16vc2kqilwdj83r9k8t9mf0j, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 07:05:40 | ERROR | gateway | Write operation failed: storage quota exceeded bucket=prod-backups (env=prod, region=us-east-1, ip=66.146.58.30, request_id=vibzbbal8tn6zo03, trace_id=vacmpiu7kdhy3ktukfc8g6ke, ua="PostmanRuntime/7.36.0")
2026-02-01 07:05:43 | ERROR | profile | Data validation error: missing required field field=address (env=dev, region=us-east-1, ip=170.183.247.143, request_id=d00uc86opcqgi9z0, trace_id=eymy6tvxdeqd6gugwy21pjof, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 07:05:48 | ERROR | orders | Upstream service unavailable dependency=orders-api (env=staging, region=eu-west-1, ip=172.231.174.101, request_id=g7fys1p67v3tr7ch, trace_id=n37p9an8npddc9ap09vkyhu5, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 07:05:53 | ERROR | cdn | Unhandled exception type=ValueError message=null value (env=prod, region=us-east-1, ip=94.149.25.125, request_id=25f2nlabrkaj47aq, trace_id=3jdnbhe8q0gyzhnock0cs5d8, ua="PostmanRuntime/7.36.0")
2026-02-01 07:05:55 | ERROR | api | Upstream service unavailable dependency=search-index (env=prod, region=us-east-1, ip=108.24.136.67, request_id=v1hn1ecohjt2kp1a, trace_id=yvsu4detfyrejk7fkrm5zwwh, ua="PostmanRuntime/7.36.0")
2026-02-01 07:06:01 | ERROR | db | Unhandled exception type=IOError message=invalid format (env=prod, region=ap-southeast-1, ip=145.99.6.70, request_id=yo1qtca9c5x69j8r, trace_id=irm7qm206ik7r08rri1bm5zr, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:06:02 | ERROR | api | Payment gateway returned 401 provider=adyen (env=prod, region=ap-southeast-1, ip=131.119.111.2, request_id=jbmb4q7p6lrlceut, trace_id=1cz59mpjaecpv820cfoljl2w, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 07:06:23 | ERROR | analytics | Payment gateway returned 400 provider=stripe (env=prod, region=me-south-1, ip=236.153.108.156, request_id=ydkrgcxgo2ygsfxm, trace_id=5eivpzyvid4o3s8yd1ve9mde, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 07:06:26 | ERROR | search | Payment gateway returned 400 provider=paypal (env=prod, region=ap-southeast-1, ip=113.208.213.11, request_id=5h0ifumeryop7ufj, trace_id=s8qub5gmqkcwp3y5sd9rihh4, ua="PostmanRuntime/7.36.0")
2026-02-01 07:06:34 | ERROR | notifications | DB timeout while fetching user profile user_id=2374 (env=prod, region=me-south-1, ip=73.82.77.128, request_id=ckvt8iaz2sw5l651, trace_id=9g8psbmcrvk7gxmmm54ddxnh, ua="curl/8.4.0")
2026-02-01 07:06:36 | ERROR | kms | Service dependency not responding dependency=cdn-edge (env=prod, region=eu-west-1, ip=3.78.13.241, request_id=e26pxxaecl06vjmb, trace_id=yluod49n45uqbmvkkfjy157w, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 07:06:41 | ERROR | worker | Worker crashed: out of memory rss_mb=7195 (env=prod, region=ap-southeast-1, ip=1.232.133.238, request_id=rp4j328kpz84c1ai, trace_id=9wkarvwsvuonwix8essvqc0w, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 07:06:44 | ERROR | search | Authentication failed due to invalid token user_id=9888 (env=prod, region=us-east-1, ip=20.129.125.97, request_id=2yd9e1y1km78bfqr, trace_id=nyulpnzmf7e7ad64o5gzhf8u, ua="PostmanRuntime/7.36.0")
