2026-02-01 00:00:07 | WARN | search | Rate limit nearing threshold remaining=17 (env=dev, region=ap-southeast-1, ip=5.167.240.107, request_id=q58cyw4g0u1g404w, trace_id=ga8rz5tl68r0vmzz00duessx, ua="PostmanRuntime/7.36.0")
2026-02-01 00:02:28 | WARN | worker | High memory usage warning mem=60% (env=staging, region=ap-southeast-1, ip=165.215.124.174, request_id=eq0d6vxdl81uhd2x, trace_id=qq6n2i141qeyj70r3uzotj1b, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:02:36 | WARN | inventory | Retrying request to upstream service attempt=5 (env=dev, region=ap-southeast-1, ip=114.215.102.218, request_id=ghl6pejc97rwc8ij, trace_id=pnroe0gs3y7washcirgtu1be, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:02:45 | WARN | worker | Circuit breaker half-open dependency=redis (env=dev, region=me-south-1, ip=165.58.8.146, request_id=rpaxo6e2a36sru01, trace_id=oobb37pfg5z811g214mijtk8, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:03:05 | WARN | billing | Circuit breaker half-open dependency=stripe (env=dev, region=us-east-1, ip=41.40.92.34, request_id=1gel7obhefrg75ab, trace_id=mxk321ow0gkw33he3cc3cc22, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:03:13 | WARN | profile | Circuit breaker half-open dependency=cdn-edge (env=prod, region=us-east-1, ip=66.166.119.20, request_id=kst6nuqvrrpdqiac, trace_id=g2nk8h34v14jxl2zn1kjpmu1, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:03:16 | WARN | cache | High memory usage warning mem=82% (env=prod, region=me-south-1, ip=60.139.31.48, request_id=esqae7uxi7z5s9up, trace_id=2trsnci1v736lv4nlgsf0mow, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:03:17 | WARN | worker | Queue backlog growing size=6958 (env=prod, region=eu-west-1, ip=88.9.143.183, request_id=98n47k0qfqlwugdr, trace_id=e8nc87waifnktz527p4x406x, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:03:20 | WARN | api | Disk usage above 80% disk=98% (env=prod, region=us-east-1, ip=167.15.102.181, request_id=wyhsncr8ixuk5lih, trace_id=lyklikjd7o8ukrx9542dfvo8, ua="PostmanRuntime/7.36.0")
2026-02-01 00:03:25 | WARN | orders | Slow response detected (832ms) endpoint=/logout (env=prod, region=me-south-1, ip=196.120.23.27, request_id=rspsazabd37axnpx, trace_id=d95qej74pdmrlioz3cg1a6bv, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:03:29 | WARN | cdn | Rate limit nearing threshold remaining=4 (env=staging, region=me-south-1, ip=21.139.171.211, request_id=mfigahuk7jld2jza, trace_id=djpubhhp8vjmzlqzdbz2tb7g, ua="PostmanRuntime/7.36.0")
2026-02-01 00:03:36 | WARN | db | Temporary network jitter detected rtt_ms=84 (env=staging, region=us-east-1, ip=184.136.227.243, request_id=gta09j26pstflpl4, trace_id=9qlq6nvre3ii9aygha1asde0, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:03:39 | WARN | scheduler | Queue backlog growing size=770 (env=prod, region=ap-southeast-1, ip=254.242.178.246, request_id=zjodq1mocz3t7zaw, trace_id=a4tyn6lir0hstx78jq2c2m3q, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:03:49 | WARN | inventory | Temporary network jitter detected rtt_ms=252 (env=prod, region=ap-southeast-1, ip=43.9.38.67, request_id=ri6aub8qnk0rqp4w, trace_id=2y0epgacqekftzezmhwnw6x3, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:03:53 | WARN | orders | Elevated error rate observed window_s=30 rate=14.0% (env=prod, region=us-east-1, ip=233.40.224.163, request_id=gcunpjos1y1r59d5, trace_id=rc9rqiqtjti3yuszli0wo5gd, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:04:02 | WARN | search | Retrying request to upstream service attempt=5 (env=prod, region=eu-west-1, ip=43.247.193.20, request_id=x70s0afg6agp5u1g, trace_id=wp40yimcwdf99k5lita6c7o7, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:04:05 | WARN | email | Temporary network jitter detected rtt_ms=849 (env=staging, region=eu-west-1, ip=13.59.227.184, request_id=n9m5u1254xklmq3d, trace_id=pc148ax77ahrth9mgamydirq, ua="PostmanRuntime/7.36.0")
2026-02-01 00:04:12 | WARN | profile | Slow response detected (1111ms) endpoint=/health (env=prod, region=us-east-1, ip=90.41.132.73, request_id=38k229mv4e7fhz2y, trace_id=gvg2t5xrvvpdv7206sql7vgw, ua="PostmanRuntime/7.36.0")
2026-02-01 00:04:23 | WARN | profile | Rate limit nearing threshold remaining=42 (env=staging, region=ap-southeast-1, ip=49.76.63.193, request_id=wyif5iz2cip8nvt0, trace_id=6mvtihk9dra2afwhi2jo1jwu, ua="PostmanRuntime/7.36.0")
2026-02-01 00:04:26 | WARN | worker | Retrying request to upstream service attempt=3 (env=prod, region=ap-southeast-1, ip=122.182.73.189, request_id=bevzv8ocodcqdmcz, trace_id=5uo9sb9l06cmwyw9bnrevuzz, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:04:32 | WARN | inventory | Slow response detected (1260ms) endpoint=/files/7768 (env=prod, region=ap-southeast-1, ip=61.181.14.32, request_id=2x7adwad4ipji6jv, trace_id=lq5cm5s3ewv5taduxfijv3ny, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:04:33 | WARN | payments | Circuit breaker half-open dependency=stripe (env=prod, region=eu-west-1, ip=216.86.6.235, request_id=55fjjbm2p3zn2263, trace_id=yzs0ii9hbzfvfteucep6bzh8, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:04:36 | WARN | billing | High memory usage warning mem=85% (env=prod, region=me-south-1, ip=76.164.84.223, request_id=zpfgydxxmw34fb71, trace_id=0g0rfw01d03s3xk2wx8atm3x, ua="curl/8.4.0")
2026-02-01 00:04:40 | WARN | cache | Temporary network jitter detected rtt_ms=446 (env=staging, region=us-east-1, ip=113.170.248.77, request_id=m18hqfkkviyx8hba, trace_id=5kooqyiunofkjyrxxw3dfss5, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:04:49 | WARN | billing | Disk usage above 80% disk=93% (env=staging, region=ap-southeast-1, ip=99.116.22.17, request_id=4cq8uy6v7yn7kwvy, trace_id=erm7sn5tungpzz6x59486lef, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:04:51 | WARN | analytics | Rate limit nearing threshold remaining=36 (env=staging, region=ap-southeast-1, ip=160.243.218.253, request_id=zg6qhkflfobnxfmp, trace_id=7rx4p5qgzkisfgz1ephswufd, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:04:52 | WARN | cdn | Disk usage above 80% disk=95% (env=prod, region=me-south-1, ip=130.81.179.76, request_id=fdpcaximqwle9sw1, trace_id=cqvv8khtvh0s2si8lz7grulc, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:04:55 | WARN | payments | Slow response detected (1897ms) endpoint=/notifications/push (env=dev, region=us-east-1, ip=16.189.96.95, request_id=vsrqmhxl4q2dmolc, trace_id=e8ciswb4932d17wp9j7axtn1, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:05:09 | WARN | profile | Rate limit nearing threshold remaining=25 (env=prod, region=me-south-1, ip=149.112.26.248, request_id=pdhawjpcg1r1rf83, trace_id=97fa2rmxjsup2a17hlz8ieyo, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:05:10 | WARN | scheduler | Slow response detected (2147ms) endpoint=/logout (env=prod, region=me-south-1, ip=84.194.171.147, request_id=gi5dx56yz4bdu3b3, trace_id=9ik94tjlt0gp287hw1jv2fsg, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:05:11 | WARN | worker | Slow response detected (604ms) endpoint=/files/upload (env=prod, region=us-east-1, ip=29.49.118.105, request_id=1tq8tgu8bg56p8ok, trace_id=1f84z1nldu9ld6qf9pt8lyvx, ua="PostmanRuntime/7.36.0")
2026-02-01 00:05:18 | WARN | kms | Disk usage above 80% disk=84% (env=prod, region=us-east-1, ip=203.220.80.91, request_id=jc8arw5mkphvqs5a, trace_id=uizdblwepzsqg5f1iy9q28o1, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:05:32 | WARN | profile | Payment provider latency high (612ms) (env=prod, region=ap-southeast-1, ip=182.166.246.74, request_id=an9bghtmkfo1ij0m, trace_id=o7bzeq69w9vomsrmtntig374, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:05:35 | WARN | search | Elevated error rate observed window_s=300 rate=11.8% (env=prod, region=ap-southeast-1, ip=5.126.56.30, request_id=kkvyevoi00hjzi0z, trace_id=99p37fnnwnfdgfkgv1tip6np, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:05:53 | WARN | worker | Rate limit nearing threshold remaining=38 (env=prod, region=eu-west-1, ip=43.93.98.205, request_id=9xigo8zobyqntdec, trace_id=e4ehuqws7jx9k57ofg348wv3, ua="PostmanRuntime/7.36.0")
2026-02-01 00:06:02 | WARN | notifications | High memory usage warning mem=82% (env=staging, region=ap-southeast-1, ip=187.119.196.211, request_id=30ydv17cvuhwxxgf, trace_id=m2ir7z5fhdeo9ftgek8dc13k, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:06:07 | WARN | payments | Disk usage above 80% disk=86% (env=dev, region=eu-west-1, ip=137.111.8.217, request_id=4wi5djmm7t9231d2, trace_id=q17jplamyhaarbiwm0yah8d2, ua="PostmanRuntime/7.36.0")
2026-02-01 00:06:18 | WARN | orders | Disk usage above 80% disk=82% (env=prod, region=us-east-1, ip=203.142.80.144, request_id=wyrspp6npfyx505a, trace_id=14i4owxi8qermhuu49sfvriz, ua="PostmanRuntime/7.36.0")
2026-02-01 00:06:19 | WARN | inventory | Queue backlog growing size=9996 (env=dev, region=eu-west-1, ip=209.210.157.184, request_id=lm6a3vcej9wps7mp, trace_id=wi2wx0z3ndytxv4ym4dz2v5b, ua="curl/8.4.0")
2026-02-01 00:06:25 | WARN | email | Rate limit nearing threshold remaining=5 (env=prod, region=us-east-1, ip=82.21.65.222, request_id=wue9u7mtx2jkn8dk, trace_id=q5bzbewe2vcj2318gjag0oqu, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:06:34 | WARN | storage | Queue backlog growing size=6300 (env=prod, region=me-south-1, ip=119.151.1.157, request_id=ohlhmuyyj7o0tvfr, trace_id=2ljaal21ahkbl2ndxw0ebw3x, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:06:36 | WARN | search | Slow response detected (324ms) endpoint=/admin/config (env=staging, region=me-south-1, ip=188.64.25.64, request_id=nc4ew5wvcbynv7ys, trace_id=gvqh6i1y6y47ognf93qvlnhx, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:06:38 | WARN | email | Circuit breaker half-open dependency=orders-api (env=prod, region=ap-southeast-1, ip=75.204.28.191, request_id=exiswikf4gjk8lzk, trace_id=3zql1kyw07rb7rdcmdurr1j8, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:54:13 | WARN | inventory | Payment provider latency high (2625ms) (env=prod, region=me-south-1, ip=229.117.28.93, request_id=pzt71acghhbvelqs, trace_id=c66nkmdl8w14tesfrp6yfxor, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:54:16 | WARN | profile | Queue backlog growing size=7653 (env=prod, region=me-south-1, ip=221.248.118.68, request_id=2ppxwueflfvz4zov, trace_id=7k8y8ppn60jhqvgj9bqmxyl6, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 06:54:24 | WARN | payments | Temporary network jitter detected rtt_ms=394 (env=dev, region=me-south-1, ip=118.204.203.162, request_id=wvgyzq4y37w6e4n3, trace_id=iidlw3foc2t9lhcacriyvg6h, ua="PostmanRuntime/7.36.0")
2026-02-01 06:54:30 | WARN | frontend | Payment provider latency high (616ms) (env=dev, region=eu-west-1, ip=156.50.78.2, request_id=n5v7ctgk4jc4fjtf, trace_id=xjw7eotmz4a10abkwyokjcnp, ua="curl/8.4.0")
2026-02-01 06:54:32 | WARN | email | Circuit breaker half-open dependency=payments-api (env=prod, region=eu-west-1, ip=143.112.196.208, request_id=ke4p613t58sw0wwa, trace_id=3lihhl3fo51cydkisss5n4jv, ua="PostmanRuntime/7.36.0")
2026-02-01 06:54:37 | WARN | email | Circuit breaker half-open dependency=kms (env=prod, region=eu-west-1, ip=216.222.109.230, request_id=5nfbnpxoeu9wkp1u, trace_id=jh2tf4qt1c7ulwl5vtpgybcj, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 06:54:39 | WARN | search | Payment provider latency high (701ms) (env=prod, region=me-south-1, ip=138.78.197.122, request_id=62rasotw8vk27f4u, trace_id=o7wipww3la3dh184r45z71nq, ua="PostmanRuntime/7.36.0")
2026-02-01 06:54:41 | WARN | auth | Slow response detected (2757ms) endpoint=/users/1554/profile (env=dev, region=me-south-1, ip=196.183.123.201, request_id=rkik64zjugv4qdn3, trace_id=b9z0t5tkxbkzapm59wsngjnq, ua="curl/8.4.0")
2026-02-01 06:54:53 | WARN | inventory | High memory usage warning mem=86% (env=staging, region=eu-west-1, ip=39.147.240.238, request_id=fnmdt1bj3s5699ew, trace_id=o3bqlr3g1zj9cgydujpx4nbo, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:54:58 | WARN | worker | Elevated error rate observed window_s=60 rate=10.5% (env=dev, region=me-south-1, ip=24.143.236.192, request_id=e0alttbqo8vu5hus, trace_id=vkhwy4dq1zsz4w2y6w9upnpt, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:54:59 | WARN | profile | Temporary network jitter detected rtt_ms=197 (env=prod, region=us-east-1, ip=243.185.9.137, request_id=40xi8kms65igfaq4, trace_id=odjivb8s49f2wdzh71g926zm, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 06:55:04 | WARN | worker | Disk usage above 80% disk=97% (env=prod, region=me-south-1, ip=239.133.163.65, request_id=a8fee0mur6ns9l9m, trace_id=fkjm13zgrui61oonvsdebwwj, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:55:05 | WARN | billing | Rate limit nearing threshold remaining=20 (env=prod, region=ap-southeast-1, ip=108.94.242.208, request_id=tw53x1rx7xtbjtc6, trace_id=ibtai4q6txcp19jr8a7a8hoj, ua="curl/8.4.0")
2026-02-01 06:55:10 | WARN | gateway | Disk usage above 80% disk=87% (env=prod, region=ap-southeast-1, ip=96.227.174.57, request_id=zinseuohjmlrjhxi, trace_id=bz7npttyof7dseqngi1bar65, ua="PostmanRuntime/7.36.0")
2026-02-01 06:55:15 | WARN | db | Retrying request to upstream service attempt=1 (env=prod, region=ap-southeast-1, ip=225.51.251.34, request_id=no0p0r3ib8oq3gvn, trace_id=g7dhk4r3wqnfdqnvhvv9gp8s, ua="curl/8.4.0")
2026-02-01 06:55:18 | WARN | inventory | Rate limit nearing threshold remaining=34 (env=dev, region=ap-southeast-1, ip=111.227.58.191, request_id=wdcpuakv4zgluyrb, trace_id=zo8ravjowtjnawefc7ogrstb, ua="curl/8.4.0")
2026-02-01 06:55:22 | WARN | inventory | Payment provider latency high (2823ms) (env=dev, region=me-south-1, ip=240.66.216.60, request_id=ol6wpmqn6ielwcp8, trace_id=teh7gy7zq8hakgzgteuyi1qk, ua="curl/8.4.0")
2026-02-01 06:55:30 | WARN | api | Temporary network jitter detected rtt_ms=716 (env=prod, region=eu-west-1, ip=83.59.214.186, request_id=jjqrmwvavgysjhyu, trace_id=0yrbhbp5n3wuvp49mi38mzb8, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:55:35 | WARN | cache | Disk usage above 80% disk=82% (env=prod, region=me-south-1, ip=238.200.237.36, request_id=fpp427wcua598ywy, trace_id=86z4jpcp5nuy83eiomrvylsu, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:55:41 | WARN | auth | Circuit breaker half-open dependency=cdn-edge (env=staging, region=us-east-1, ip=148.22.179.43, request_id=y8oy6w3haf6n5yut, trace_id=v0r8r2gpnmzb03n3p41rz3ud, ua="PostmanRuntime/7.36.0")
2026-02-01 06:55:42 | WARN | scheduler | Queue backlog growing size=1500 (env=dev, region=ap-southeast-1, ip=234.108.81.36, request_id=nfy58vzulx2pjkz9, trace_id=hgomv3oswcazl6it9jixkl09, ua="PostmanRuntime/7.36.0")
2026-02-01 06:55:53 | WARN | auth | Circuit breaker half-open dependency=payments-api (env=prod, region=me-south-1, ip=207.232.57.208, request_id=gdqkjkjvr5fpkxob, trace_id=xt9ahgrp9vdow486y9rax4yg, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:55:58 | WARN | kms | Elevated error rate observed window_s=300 rate=8.2% (env=prod, region=me-south-1, ip=216.99.104.229, request_id=70jvi8w73t2cbgu4, trace_id=nvy8q0o17c5mc9dbdy4hnb2o, ua="PostmanRuntime/7.36.0")
2026-02-01 06:55:59 | WARN | cdn | High memory usage warning mem=85% (env=dev, region=eu-west-1, ip=180.225.241.57, request_id=jdq3fcq0122rcpyt, trace_id=afji5ugw0e007vfqixylnm6p, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 06:56:06 | WARN | email | Disk usage above 80% disk=85% (env=staging, region=eu-west-1, ip=172.151.30.204, request_id=asnd5ypwx3rktfnr, trace_id=1juicavhqndqjrn3gahbwb9f, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:56:09 | WARN | cache | Queue backlog growing size=2807 (env=prod, region=us-east-1, ip=238.106.142.195, request_id=x0a5gc1z4wfgio4d, trace_id=zha5b5q4adzipzzxipoxmgdy, ua="PostmanRuntime/7.36.0")
2026-02-01 06:56:12 | WARN | orders | Rate limit nearing threshold remaining=13 (env=prod, region=ap-southeast-1, ip=69.251.144.89, request_id=z9w5nlsdmxflesmk, trace_id=jh3oul88hfd7eo85nbqwliq6, ua="PostmanRuntime/7.36.0")
2026-02-01 06:56:17 | WARN | db | Rate limit nearing threshold remaining=6 (env=dev, region=me-south-1, ip=74.221.41.150, request_id=li5zv42wbojxl136, trace_id=gm1xo11wjc9npqbmpkoug6uw, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:56:26 | WARN | inventory | Payment provider latency high (3060ms) (env=staging, region=ap-southeast-1, ip=141.135.22.49, request_id=atkmpxs4jm3d2yqt, trace_id=1ansmfcnh6udg113hf7gnvh1, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:56:28 | WARN | profile | High memory usage warning mem=95% (env=staging, region=ap-southeast-1, ip=18.218.164.35, request_id=1hms3aq3fqg2dzjf, trace_id=o8w071m0aveq0334cr7j0edp, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 06:56:31 | WARN | kms | Retrying request to upstream service attempt=5 (env=prod, region=me-south-1, ip=95.111.77.248, request_id=ora8uo7vsyjqa3rr, trace_id=73vrm8cyrwq0mznfr3nhr4sc, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 06:56:35 | WARN | worker | Disk usage above 80% disk=97% (env=prod, region=ap-southeast-1, ip=216.129.87.89, request_id=iehtystsxzm9gc73, trace_id=l6j91uetpppionk9r5ylygv8, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 06:56:44 | WARN | analytics | Circuit breaker half-open dependency=s3 (env=prod, region=ap-southeast-1, ip=225.48.179.200, request_id=ny5to3xh76gr7vmq, trace_id=ke4178uuo9xb11g9vq04gt0m, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
